Item Pair (iconicity score 1-7),Number of matched features,Matched features
bear (3.0) -- doll (1.2),1,Movement
cat (4.6) -- bird (4.5),3,"Selected Fingers, Major Location, Sign Type"
car (6.2) -- book (6.7),4,"Selected Fingers, Major Location, Movement, Sign Type"
ball (5.7) -- shoe (1.5),4,"Selected Fingers, Major Location, Movement, Sign Type"
